Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
81,The Secret Life of Bees,-,-,-,"$37,443,851","1,630","$37,770,162",Oct 17,Fox Searchlight Pictures,false
82,The Family That Preys,-,-,-,"$37,105,289","2,070","$37,105,289",Sep 12,Lionsgate,false
83,Death Race,-,-,-,"$36,316,032","2,586","$36,316,032",Aug 22,Universal Pictures,false
84,Changeling,-,-,-,"$35,598,217","1,896","$35,739,802",Oct 24,Universal Pictures,false
85,Star Wars: The Clone Wars,-,-,-,"$35,161,554","3,452","$35,161,554",Aug 15,Warner Bros.,false
86,The Tale of Despereaux,-,-,-,"$34,019,390","3,107","$50,877,145",Dec 19,Universal Pictures,false
87,Semi-Pro,-,-,-,"$33,540,654","3,121","$33,479,698",Feb 29,New Line Cinema,false
88,Fireproof,-,-,-,"$33,185,636",905,"$33,456,317",Sep 26,The Samuel Goldwyn Company,false
89,Drillbit Taylor,-,-,-,"$32,862,104","3,061","$32,862,104",Mar 21,Paramount Pictures,false
90,No Country for Old Men,-,-,-,"$32,712,541","2,037","$74,283,625",Nov 9,Miramax,false
91,"Definitely, Maybe",-,-,-,"$32,241,649","2,220","$32,241,649",Feb 14,Universal Pictures,false
92,The Love Guru,-,-,-,"$32,235,793","3,012","$32,235,793",Jun 20,Paramount Pictures,false
93,Quarantine,-,-,-,"$31,691,811","2,463","$31,691,811",Oct 10,Screen Gems,false
94,Transporter 3,-,-,-,"$31,675,631","2,626","$31,715,062",Nov 26,Lionsgate,false
95,Nick and Norah's Infinite Playlist,-,-,-,"$31,487,293","2,421","$31,487,293",Oct 3,Sony Pictures Entertainment (SPE),false
96,The Eye,-,-,-,"$31,418,697","2,470","$31,418,697",Feb 1,Lionsgate,false
97,Leatherheads,-,-,-,"$31,373,938","2,798","$31,373,938",Apr 4,Universal Pictures,false
98,Zack and Miri Make a Porno,-,-,-,"$31,213,743","2,735","$31,457,946",Oct 31,The Weinstein Company,false
99,Mirrors,-,-,-,"$30,691,439","2,664","$30,691,439",Aug 15,Twentieth Century Fox,false
100,Space Chimps,-,-,-,"$30,105,968","2,538","$30,105,968",Jul 18,Twentieth Century Fox,false
101,The Bank Job,-,-,-,"$30,060,660","1,613","$30,060,660",Mar 7,Lionsgate,false
102,Untraceable,-,-,-,"$28,687,835","2,368","$28,687,835",Jan 25,Screen Gems,false
103,P.S. I Love You,-,-,-,"$28,405,687","2,471","$53,695,808",Dec 21,Warner Bros.,false
104,Charlie Wilson's War,-,-,-,"$27,996,250","2,594","$66,661,095",Dec 21,Universal Pictures,false
105,The Women,-,-,-,"$26,902,075","2,995","$26,902,075",Sep 12,Picturehouse,false
106,One Missed Call,-,-,-,"$26,890,041","2,240","$26,890,041",Jan 4,Warner Bros.,false
107,The Other Boleyn Girl,-,-,-,"$26,814,957","1,212","$26,814,957",Feb 29,Sony Pictures Entertainment (SPE),false
108,Street Kings,-,-,-,"$26,418,667","2,469","$26,418,667",Apr 11,Fox Searchlight Pictures,false
109,Shutter,-,-,-,"$25,928,550","2,756","$25,928,550",Mar 21,Twentieth Century Fox,false
110,Superhero Movie,-,-,-,"$25,874,034","2,965","$25,881,068",Mar 28,-,false
111,W.,-,-,-,"$25,534,493","2,050","$25,534,493",Oct 17,Lionsgate,false
112,Never Back Down,-,-,-,"$24,850,922","2,729","$24,850,922",Mar 14,Summit Entertainment,false
113,Sweeney Todd: The Demon Barber of Fleet Street,-,-,-,"$24,613,476","1,507","$52,898,073",Dec 21,DreamWorks,false
114,Traitor,-,-,-,"$23,530,831","2,108","$23,530,831",Aug 27,Overture Films,false
115,Vicky Cristina Barcelona,-,-,-,"$22,772,748",726,"$23,216,709",Aug 15,-,false
116,Babylon A.D.,-,-,-,"$22,532,572","3,425","$22,532,572",Aug 29,Twentieth Century Fox,false
117,Slumdog Millionaire,-,-,-,"$22,227,362","2,943","$141,319,928",Nov 12,Fox Searchlight Pictures,false
118,The Water Horse,-,-,-,"$21,886,231","2,777","$40,946,255",Dec 25,Revolution Studios,false
119,The X Files: I Want to Believe,-,-,-,"$20,982,478","3,185","$20,982,478",Jul 25,Twentieth Century Fox,false
120,Mad Money,-,-,-,"$20,668,843","2,470","$20,668,843",Jan 18,Overture Films,false
121,Appaloosa,-,-,-,"$20,072,553","1,290","$20,211,394",Sep 19,Warner Bros.,false
122,Igor,-,-,-,"$19,445,931","2,341","$19,528,602",Sep 19,Metro-Goldwyn-Mayer (MGM),false
123,My Best Friend's Girl,-,-,-,"$19,219,250","2,636","$19,219,250",Sep 19,Lionsgate,false
124,Kit Kittredge: An American Girl,-,-,-,"$17,657,973","1,849","$17,657,973",Jun 20,Picturehouse,false
125,The Ruins,-,-,-,"$17,432,844","2,814","$17,432,844",Apr 4,DreamWorks,false
126,88 Minutes,-,-,-,"$17,213,467","2,168","$17,213,467",Apr 18,Sony Pictures Entertainment (SPE),false
127,Swing Vote,-,-,-,"$16,289,867","2,213","$16,289,867",Aug 1,Walt Disney Studios Motion Pictures,false
128,Pride and Glory,-,-,-,"$15,740,721","2,585","$15,740,721",Oct 24,Warner Bros.,false
129,Enchanted,-,-,-,"$15,662,788","3,730","$127,807,262",Nov 21,Walt Disney Studios Motion Pictures,false
130,The Great Debaters,-,-,-,"$15,544,116","1,290","$30,236,407",Dec 25,-,false
