Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
82,Friday After Next,-,-,-,"$32,351,900","1,621","$33,253,609",Nov 22,New Line Cinema,false
83,Vanilla Sky,-,-,-,"$31,997,193","2,842","$100,618,344",Dec 14,Paramount Pictures,false
84,Murder by Numbers,-,-,-,"$31,945,749","2,663","$31,945,749",Apr 19,Warner Bros.,false
85,One Hour Photo,-,-,-,"$31,587,882","1,332","$31,597,131",Aug 21,Fox Searchlight Pictures,false
86,Monster's Ball,-,-,-,"$31,111,028",714,"$31,273,922",Dec 26,Lionsgate,false
87,Halloween: Resurrection,-,-,-,"$30,354,442","2,094","$30,354,442",Jul 12,Dimension Films,false
88,Queen of the Damned,-,-,-,"$30,336,800","2,511","$30,336,800",Feb 22,Warner Bros.,false
89,Dragonfly,-,-,-,"$30,323,400","2,507","$30,323,400",Feb 22,Universal Pictures,false
90,The Banger Sisters,-,-,-,"$30,307,416","2,739","$30,307,416",Sep 20,Fox Searchlight Pictures,false
91,Bad Company,-,-,-,"$30,160,161","2,944","$30,160,161",Jun 7,Walt Disney Studios Motion Pictures,false
92,Space Station 3D,-,-,-,"$30,126,705",64,"$93,383,953",Apr 19,IMAX,false
93,Kate & Leopold,-,-,-,"$29,899,574","2,467","$47,121,859",Dec 25,Miramax,false
94,The New Guy,-,-,-,"$29,760,152","2,687","$29,760,152",May 10,Revolution Studios,false
95,Ghost Ship,-,-,-,"$29,662,862","2,787","$30,113,491",Oct 25,Warner Bros.,false
96,Harry Potter and the Sorcerer's Stone,-,-,-,"$29,059,541","3,672","$317,575,550",Nov 16,Warner Bros.,false
97,Analyze That,-,-,-,"$28,739,707","2,635","$32,130,627",Dec 6,Warner Bros.,false
98,Swimfan,-,-,-,"$28,564,995","2,860","$28,564,995",Sep 6,Twentieth Century Fox,false
99,The Crocodile Hunter: Collision Course,-,-,-,"$28,442,574","2,535","$28,442,574",Jul 12,Metro-Goldwyn-Mayer (MGM),false
100,Brown Sugar,-,-,-,"$27,273,283","1,378","$27,363,891",Oct 11,Fox Searchlight Pictures,false
101,Blood Work,-,-,-,"$26,235,081","2,525","$26,235,081",Aug 9,Warner Bros.,false
102,All About the Benjamins,-,-,-,"$25,916,319","1,519","$25,916,319",Mar 8,New Line Cinema,false
103,The Transporter,-,-,-,"$25,272,510","2,610","$25,296,447",Oct 11,Twentieth Century Fox,false
104,Jonah: A VeggieTales Movie,-,-,-,"$25,230,712","1,625","$25,581,229",Oct 4,Artisan Entertainment,false
105,The Sweetest Thing,-,-,-,"$24,718,164","2,670","$24,718,164",Apr 12,Sony Pictures Entertainment (SPE),false
106,"Beauty and the Beast
2000 IMAX Release",-,-,-,"$24,168,654",68,"$25,487,190",Jan 1,Walt Disney Studios Motion Pictures,false
107,The Hot Chick,-,-,-,"$23,995,607","2,246","$35,081,594",Dec 13,Walt Disney Studios Motion Pictures,false
108,Eight Crazy Nights,-,-,-,"$23,341,502","2,503","$23,586,598",Nov 27,Sony Pictures Entertainment (SPE),false
109,City by the Sea,-,-,-,"$22,457,568","2,575","$22,449,000",Sep 6,Warner Bros.,false
110,The Wild Thornberrys,-,-,-,"$22,411,533","3,012","$40,108,697",Dec 20,Paramount Pictures,false
111,Ali,-,-,-,"$21,508,157","2,521","$58,203,105",Dec 25,Sony Pictures Entertainment (SPE),false
112,Van Wilder,-,-,-,"$21,305,259","2,104","$21,305,259",Apr 5,Artisan Entertainment,false
113,Frida,-,-,-,"$20,518,988",794,"$25,885,000",Oct 25,Miramax,false
114,Martin Lawrence Live: Runteldat,-,-,-,"$19,184,820",774,"$19,184,820",Aug 2,Paramount Pictures,false
115,Hart's War,-,-,-,"$19,077,641","2,459","$19,077,641",Feb 15,Metro-Goldwyn-Mayer (MGM),false
116,Rollerball,-,-,-,"$18,990,798","2,762","$18,990,798",Feb 8,Metro-Goldwyn-Mayer (MGM),false
117,Tuck Everlasting,-,-,-,"$18,795,418","1,460","$19,161,999",Oct 11,Walt Disney Studios Motion Pictures,false
118,Super Troopers,-,-,-,"$18,492,362","1,805","$18,492,362",Feb 15,Fox Searchlight Pictures,false
119,"Monsters, Inc.",-,-,-,"$18,407,006","3,649","$255,873,250",Nov 2,Walt Disney Studios Motion Pictures,false
120,The Four Feathers,-,-,-,"$18,306,166","2,187","$18,306,166",Sep 20,Paramount Pictures,false
121,Punch-Drunk Love,-,-,-,"$17,844,216","1,293","$17,844,216",Oct 11,Revolution Studios,false
122,Amélie,-,-,-,"$17,436,294",303,"$33,225,499",Nov 2,Miramax,false
123,Eight Legged Freaks,-,-,-,"$17,322,606","2,530","$17,322,606",Jul 17,Warner Bros.,false
124,The Country Bears,-,-,-,"$16,990,825","2,553","$16,990,825",Jul 26,Walt Disney Studios Motion Pictures,false
125,Serving Sara,-,-,-,"$16,930,185","2,174","$16,930,185",Aug 23,Paramount Pictures,false
126,White Oleander,-,-,-,"$16,357,770","1,510","$16,357,770",Oct 11,Warner Bros.,false
127,Kung Pow: Enter the Fist,-,-,-,"$16,037,962","2,478","$16,037,962",Jan 25,Twentieth Century Fox,false
128,Empire,-,-,-,"$15,413,065",869,"$17,600,423",Dec 6,Universal Pictures,false
129,Half Past Dead,-,-,-,"$15,374,912","2,113","$15,567,860",Nov 15,Sony Pictures Entertainment (SPE),false
130,Bowling for Columbine,-,-,-,"$15,364,197",248,"$21,576,018",Oct 11,United Artists,false
131,The Next Best Thing,-,-,-,"$14,986,688","2,035","$14,990,582",Mar 3,Paramount Pictures,false
132,Solaris,-,-,-,"$14,838,227","2,406","$14,973,382",Nov 27,Twentieth Century Fox,false
133,Life or Something Like It,-,-,-,"$14,448,589","2,609","$14,448,589",Apr 26,Twentieth Century Fox,false
134,Ballistic: Ecks vs. Sever,-,-,-,"$14,307,963","2,705","$14,307,963",Sep 20,Warner Bros.,false
135,Stealing Harvard,-,-,-,"$14,036,406","2,366","$14,036,406",Sep 13,Revolution Studios,false
136,The Good Girl,-,-,-,"$14,018,296",688,"$14,018,296",Aug 7,Fox Searchlight Pictures,false
137,Monsoon Wedding,-,-,-,"$13,885,966",254,"$13,885,966",Feb 22,USA Films,false
138,Y Tu Mamá También,-,-,-,"$13,839,658",286,"$13,839,658",Mar 15,IFC Films,false
139,Hey Arnold! The Movie,-,-,-,"$13,728,902","2,534","$13,728,902",Jun 28,Paramount Pictures,false
140,The Emperor's Club,-,-,-,"$13,673,240",811,"$14,118,751",Nov 22,Universal Pictures,false
141,Juwanna Mann,-,-,-,"$13,670,733","1,325","$13,670,733",Jun 21,Warner Bros.,false
142,Feardotcom,-,-,-,"$13,258,249","2,550","$13,258,249",Aug 30,Warner Bros.,false
143,Jason X,-,-,-,"$13,121,555","1,879","$13,121,555",Apr 26,New Line Cinema,false
144,Frailty,-,-,-,"$13,110,448","1,497","$13,110,448",Apr 12,Lionsgate,false
145,How High,-,-,-,"$12,944,920","1,273","$31,178,740",Dec 21,Universal Pictures,false
146,Undisputed,-,-,-,"$12,764,457","1,117","$12,764,657",Aug 23,Miramax,false
147,They,-,-,-,"$12,616,304","1,623","$12,840,842",Nov 27,Dimension Films,false
148,The Majestic,-,-,-,"$11,884,012","2,361","$27,807,266",Dec 21,Warner Bros.,false
149,Knockaround Guys,-,-,-,"$11,693,962","1,806","$11,715,637",Oct 11,New Line Cinema,false
150,The Powerpuff Girls Movie,-,-,-,"$11,412,414","2,340","$11,412,414",Jul 3,Warner Bros.,false
151,CyberWorld,-,-,-,"$11,315,437",38,"$11,253,900",Oct 6,IMAX,false
152,Brotherhood of the Wolf,-,-,-,"$11,260,096",405,"$11,260,096",Jan 11,Universal Pictures,false
153,Abandon,-,-,-,"$10,727,683","2,347","$10,727,683",Oct 18,Paramount Pictures,false
154,Far from Heaven,-,-,-,"$10,303,978",291,"$15,901,849",Nov 8,Focus Features,false
155,Sorority Boys,-,-,-,"$10,200,032","1,801","$10,200,032",Mar 22,Walt Disney Studios Motion Pictures,false
156,Possession,-,-,-,"$10,113,616",619,"$10,113,733",Aug 16,Focus Features,false
157,S1m0ne,-,-,-,"$9,729,415","1,920","$9,688,676",Aug 23,New Line Cinema,false
158,The Shipping News,-,-,-,"$9,242,154",434,"$11,434,216",Dec 25,Miramax,false
159,Behind Enemy Lines,-,-,-,"$8,641,762","2,844","$58,856,790",Nov 30,Twentieth Century Fox,false
160,The Importance of Being Earnest,-,-,-,"$8,384,929",216,"$8,384,929",May 17,Miramax,false
161,Death to Smoochy,-,-,-,"$8,364,691","2,164","$8,364,691",Mar 29,Warner Bros.,false
162,Joe Somebody,-,-,-,"$8,194,551","2,517","$22,771,646",Dec 21,Twentieth Century Fox,false
163,"Star Wars: Episode II - Attack of the Clones
2002 IMAX Release",-,-,-,"$7,979,225",58,"$8,485,488",Nov 1,Twentieth Century Fox,false
164,Not Another Teen Movie,-,-,-,"$7,387,484","2,365","$38,252,284",Dec 14,Sony Pictures Entertainment (SPE),false
165,Shackleton's Antarctic Adventure,-,-,-,"$7,335,696",26,"$15,553,324",Feb 10,-,false
166,Big Trouble,-,-,-,"$7,267,307","1,961","$7,267,307",Apr 5,Walt Disney Studios Motion Pictures,false
167,Trapped,-,-,-,"$7,073,251","2,227","$7,073,251",Sep 20,Sony Pictures Entertainment (SPE),false
168,Kissing Jessica Stein,-,-,-,"$7,025,722",319,"$7,025,722",Mar 13,Fox Searchlight Pictures,false
169,Moonlight Mile,-,-,-,"$6,788,377",437,"$6,835,856",Sep 27,Walt Disney Studios Motion Pictures,false
170,"Spider-Man/Men in Black II
Double Bill",-,-,-,"$6,632,970","2,078","$6,632,970",Sep 6,Sony Pictures Entertainment (SPE),false
171,Femme Fatale,-,-,-,"$6,630,252","1,066","$6,630,252",Nov 6,Warner Bros.,false
172,The Rules of Attraction,-,-,-,"$6,529,218","1,437","$6,532,619",Oct 11,Lionsgate,false
173,Impostor,-,-,-,"$6,285,176","1,870","$6,285,176",Jan 4,Miramax,false
174,Deuces Wild,-,-,-,"$6,080,065","1,480","$6,080,065",May 3,Metro-Goldwyn-Mayer (MGM),false
175,Iris,-,-,-,"$5,571,473",220,"$5,594,617",Dec 14,Miramax,false
176,Spirited Away,-,-,-,"$5,384,953",714,"$10,055,859",Sep 20,Walt Disney Studios Motion Pictures,false
177,The Truth About Charlie,-,-,-,"$5,350,371",755,"$5,350,371",Oct 25,Universal Pictures,false
178,Slackers,-,-,-,"$5,285,941","1,893","$5,285,941",Feb 1,Sony Pictures Entertainment (SPE),false
179,Formula 51,-,-,-,"$5,204,007","1,857","$5,204,007",Oct 18,Screen Gems,false
180,Real Women Have Curves,-,-,-,"$5,165,916",163,"$5,853,194",Oct 18,Newmarket Films,false
181,Birthday Girl,-,-,-,"$5,142,576","1,000","$5,142,576",Feb 1,Miramax,false
182,Hollywood Ending,-,-,-,"$4,850,753",772,"$4,850,753",May 3,DreamWorks Distribution,false
183,Extreme Ops,-,-,-,"$4,775,724","1,800","$4,842,259",Nov 27,Paramount Pictures,false
184,Igby Goes Down,-,-,-,"$4,706,595",156,"$4,777,465",Sep 13,Metro-Goldwyn-Mayer (MGM),false
185,Adaptation.,-,-,-,"$4,551,555",672,"$22,498,520",Dec 6,Sony Pictures Entertainment (SPE),false
186,Italian for Beginners,-,-,-,"$4,544,753",99,"$4,544,753",Jan 18,Miramax,false
187,The Adventures of Pluto Nash,-,-,-,"$4,420,080","2,320","$4,420,080",Aug 16,Warner Bros.,false
188,Lantana,-,-,-,"$4,338,191",108,"$4,623,189",Dec 14,Lionsgate,false
189,"Enigma
2001 Re-release",-,-,-,"$4,301,582",115,"$4,301,582",Apr 19,-,false
190,The Crime of Padre Amaro,-,-,-,"$4,293,774",137,"$5,717,044",Nov 15,IDP Distribution,false
191,The Other Side of Heaven,-,-,-,"$4,272,708",306,"$4,720,371",Dec 14,Excel Entertainment,false
192,Séraphin: un homme et son péché,-,-,-,"$4,265,443",123,"$6,749,187",Nov 29,Alliance Atlantis Vivafilm,false
193,Men with Brooms,-,-,-,"$4,245,870",207,"$4,245,870",Mar 8,Artisan Entertainment,false
194,Lovely & Amazing,-,-,-,"$4,222,923",175,"$4,222,923",Jun 28,Lionsgate,false
195,Ultimate X: The Movie,-,-,-,"$4,197,492",48,"$4,197,492",May 10,Walt Disney Studios Motion Pictures,false
196,Mostly Martha,-,-,-,"$4,133,232",143,"$4,160,475",Aug 16,Paramount Classics,false
197,Secretary,-,-,-,"$3,843,970",149,"$4,059,680",Sep 20,Lionsgate,false
198,Antwone Fisher,-,-,-,"$3,671,337","1,021","$21,078,145",Dec 19,Fox Searchlight Pictures,false
199,T-Rex: Back to the Cretaceous,-,-,-,"$3,337,927",38,"$53,354,743",Oct 23,IMAX,false
200,Thirteen Conversations About One Thing,-,-,-,"$3,288,164",68,"$3,288,164",May 24,Sony Pictures Classics,false
