Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,Spider-Man,-,-,-,"$403,706,375","3,876","$403,706,375",May 3,Sony Pictures Entertainment (SPE),false
2,Star Wars: Episode II - Attack of the Clones,-,-,-,"$302,191,252","3,161","$302,191,252",May 16,Twentieth Century Fox,false
3,Harry Potter and the Chamber of Secrets,-,-,-,"$243,867,371","3,682","$261,988,482",Nov 15,Warner Bros.,false
4,Signs,-,-,-,"$227,486,621","3,453","$227,966,634",Aug 2,Walt Disney Studios Motion Pictures,false
5,My Big Fat Greek Wedding,-,-,-,"$223,900,343","2,016","$241,438,208",Apr 19,IFC Films,false
6,The Lord of the Rings: The Two Towers,-,-,-,"$218,595,905","3,622","$339,789,881",Dec 18,New Line Cinema,false
7,Austin Powers in Goldmember,-,-,-,"$212,864,437","3,613","$213,307,889",Jul 26,New Line Cinema,false
8,Men in Black II,-,-,-,"$190,418,803","3,641","$190,418,803",Jul 3,Sony Pictures Entertainment (SPE),false
9,Ice Age,-,-,-,"$176,387,405","3,345","$176,387,405",Mar 15,Twentieth Century Fox,false
10,A Beautiful Mind,-,-,-,"$154,865,545","2,250","$170,742,341",Dec 21,Universal Pictures,false
11,Scooby-Doo,-,-,-,"$153,294,164","3,447","$153,294,164",Jun 14,Warner Bros.,false
12,The Lord of the Rings: The Fellowship of the Ring,-,-,-,"$149,492,899","3,381","$313,364,114",Dec 19,New Line Cinema,false
13,Die Another Day,-,-,-,"$148,765,559","3,377","$160,942,139",Nov 22,Metro-Goldwyn-Mayer (MGM),false
14,Lilo & Stitch,-,-,-,"$145,794,338","3,222","$145,794,338",Jun 21,Walt Disney Studios Motion Pictures,false
15,xXx,-,-,-,"$142,052,700","3,536","$142,109,382",Aug 9,Revolution Studios,false
16,The Santa Clause 2,-,-,-,"$136,568,619","3,352","$139,236,327",Nov 1,Walt Disney Studios Motion Pictures,false
17,Minority Report,-,-,-,"$132,072,926","3,001","$132,072,926",Jun 21,Twentieth Century Fox,false
18,The Ring,-,-,-,"$126,853,967","2,927","$129,128,133",Oct 18,DreamWorks Distribution,false
19,Mr. Deeds,-,-,-,"$126,293,452","3,239","$126,293,452",Jun 28,Sony Pictures Entertainment (SPE),false
20,Sweet Home Alabama,-,-,-,"$125,162,368","3,313","$127,223,418",Sep 27,Walt Disney Studios Motion Pictures,false
21,The Bourne Identity,-,-,-,"$121,661,683","2,663","$121,661,683",Jun 14,Universal Pictures,false
22,The Sum of All Fears,-,-,-,"$118,907,036","3,230","$118,907,036",May 31,Paramount Pictures,false
23,8 Mile,-,-,-,"$114,825,865","2,585","$116,750,901",Nov 8,Universal Pictures,false
24,Black Hawk Down,-,-,-,"$108,417,454","3,143","$108,638,745",Dec 28,Revolution Studios,false
25,Road to Perdition,-,-,-,"$104,454,762","2,332","$104,454,762",Jul 12,DreamWorks Distribution,false
26,Panic Room,-,-,-,"$96,397,334","3,119","$96,397,334",Mar 29,Sony Pictures Entertainment (SPE),false
27,Red Dragon,-,-,-,"$93,124,155","3,363","$93,149,898",Oct 4,Universal Pictures,false
28,The Scorpion King,-,-,-,"$91,047,077","3,466","$91,047,077",Apr 19,Universal Pictures,false
29,Spy Kids 2: Island of Lost Dreams,-,-,-,"$85,426,231","3,307","$85,846,429",Aug 7,Dimension Films,false
30,Blade II,-,-,-,"$82,348,319","2,707","$82,348,319",Mar 22,New Line Cinema,false
31,Snow Dogs,-,-,-,"$81,172,560","2,454","$81,172,560",Jan 18,Walt Disney Studios Motion Pictures,false
32,We Were Soldiers,-,-,-,"$78,122,718","3,143","$78,122,718",Mar 1,Paramount Pictures,false
33,Barbershop,-,-,-,"$75,600,370","2,176","$75,782,105",Sep 13,Metro-Goldwyn-Mayer (MGM),false
34,The Rookie,-,-,-,"$75,600,072","2,543","$75,600,072",Mar 29,Walt Disney Studios Motion Pictures,false
35,Spirit: Stallion of the Cimarron,-,-,-,"$73,280,117","3,362","$73,280,117",May 24,DreamWorks Distribution,false
36,John Q,-,-,-,"$71,756,802","2,505","$71,756,802",Feb 15,New Line Cinema,false
37,Divine Secrets of the Ya-Ya Sisterhood,-,-,-,"$69,599,016","2,792","$69,599,016",Jun 7,Warner Bros.,false
38,Insomnia,-,-,-,"$67,355,513","2,610","$67,355,513",May 24,Warner Bros.,false
39,Changing Lanes,-,-,-,"$66,818,548","2,642","$66,818,548",Apr 12,Paramount Pictures,false
40,Stuart Little 2,-,-,-,"$64,883,156","3,282","$64,956,806",Jul 19,Sony Pictures Entertainment (SPE),false
41,Jackass: The Movie,-,-,-,"$64,088,388","2,532","$64,255,312",Oct 25,Paramount Pictures,false
42,Catch Me If You Can,-,-,-,"$62,572,761","3,225","$164,615,351",Dec 25,DreamWorks Distribution,false
43,Maid in Manhattan,-,-,-,"$62,130,801","3,050","$94,011,225",Dec 13,Revolution Studios,false
44,The Time Machine,-,-,-,"$56,832,494","2,958","$56,832,494",Mar 8,DreamWorks Distribution,false
45,The Count of Monte Cristo,-,-,-,"$54,234,062","2,211","$54,234,062",Jan 25,Walt Disney Studios Motion Pictures,false
46,Unfaithful,-,-,-,"$52,775,765","2,625","$52,775,765",May 8,Twentieth Century Fox,false
47,Like Mike,-,-,-,"$51,432,760","2,436","$51,432,760",Jul 3,Twentieth Century Fox,false
48,Ocean's Eleven,-,-,-,"$51,268,627","3,075","$183,417,150",Dec 7,Warner Bros.,false
49,The Tuxedo,-,-,-,"$50,449,608","3,022","$50,547,998",Sep 27,DreamWorks Distribution,false
50,Two Weeks Notice,-,-,-,"$50,201,319","2,755","$93,354,851",Dec 20,Warner Bros.,false
51,Peter Pan 2: Return to Never Land,-,-,-,"$48,430,258","2,626","$48,430,258",Feb 15,Walt Disney Studios Motion Pictures,false
52,Big Fat Liar,-,-,-,"$48,360,547","2,534","$48,360,547",Feb 8,Universal Pictures,false
53,The Royal Tenenbaums,-,-,-,"$43,127,147",999,"$52,364,010",Dec 14,Walt Disney Studios Motion Pictures,false
54,Reign of Fire,-,-,-,"$43,061,982","2,629","$43,061,982",Jul 12,Walt Disney Studios Motion Pictures,false
55,High Crimes,-,-,-,"$41,543,917","2,747","$41,543,917",Apr 5,Twentieth Century Fox,false
56,About a Boy,-,-,-,"$41,385,278","1,756","$41,385,278",May 17,Universal Pictures,false
57,A Walk to Remember,-,-,-,"$41,281,092","2,420","$41,281,092",Jan 25,Warner Bros.,false
58,Orange County,-,-,-,"$41,076,018","2,317","$41,076,018",Jan 11,Paramount Pictures,false
59,Windtalkers,-,-,-,"$40,914,068","2,898","$40,914,068",Jun 14,Metro-Goldwyn-Mayer (MGM),false
60,Gosford Park,-,-,-,"$40,895,232",918,"$41,308,615",Dec 26,USA Films,false
61,Blue Crush,-,-,-,"$40,390,647","3,015","$40,390,647",Aug 16,Universal Pictures,false
62,The Master of Disguise,-,-,-,"$40,388,794","2,568","$40,388,794",Aug 2,Revolution Studios,false
63,I Am Sam,-,-,-,"$40,263,224","1,450","$40,311,852",Dec 28,New Line Cinema,false
64,Resident Evil,-,-,-,"$40,119,709","2,528","$40,119,709",Mar 15,Screen Gems,false
65,Collateral Damage,-,-,-,"$40,077,257","2,824","$40,077,257",Feb 8,Warner Bros.,false
66,Enough,-,-,-,"$40,007,742","2,623","$40,007,742",May 24,Sony Pictures Entertainment (SPE),false
67,Drumline,-,-,-,"$39,116,389","1,837","$56,399,184",Dec 13,Twentieth Century Fox,false
68,Undercover Brother,-,-,-,"$39,089,928","2,169","$39,089,928",May 31,Universal Pictures,false
69,Showtime,-,-,-,"$38,082,712","2,917","$38,082,712",Mar 15,Warner Bros.,false
70,40 Days and 40 Nights,-,-,-,"$37,950,822","2,399","$37,950,822",Mar 1,Miramax,false
71,Crossroads,-,-,-,"$37,191,304","2,713","$37,191,304",Feb 15,Paramount Pictures,false
72,Clockstoppers,-,-,-,"$36,989,956","2,563","$36,989,956",Mar 29,Paramount Pictures,false
73,The Mothman Prophecies,-,-,-,"$35,746,370","2,331","$35,746,370",Jan 25,Screen Gems,false
74,Star Trek: Nemesis,-,-,-,"$35,494,352","2,711","$43,254,409",Dec 13,Paramount Pictures,false
75,"E.T. the Extra-Terrestrial
20th Anniversary",-,-,-,"$35,306,015","3,007","$35,306,015",Mar 22,Universal Pictures,false
76,Jimmy Neutron: Boy Genius,-,-,-,"$35,234,466","3,151","$80,936,232",Dec 21,Paramount Pictures,false
77,K-19: The Widowmaker,-,-,-,"$35,168,966","2,830","$35,168,966",Jul 19,Paramount Pictures,false
78,Gangs of New York,-,-,-,"$34,325,000","2,340","$77,812,000",Dec 20,Miramax,false
79,In the Bedroom,-,-,-,"$33,985,039","1,103","$35,930,604",Nov 23,Miramax,false
80,Treasure Planet,-,-,-,"$33,767,017","3,227","$38,176,783",Nov 27,Walt Disney Studios Motion Pictures,false
81,I Spy,-,-,-,"$33,297,730","3,182","$33,561,137",Nov 1,Sony Pictures Entertainment (SPE),false
